symptom,disease,source_record_id,frequency
sudden urges to urinate,bladder cancer,1673,4
a burning sensation when passing urine. if bladder cancer reaches an advanced stage and has spread,bladder cancer,1673,3
symptoms can include pelvic pain,bladder cancer,1673,4
bone pain,bladder cancer,1673,4
unintentional weight loss,bladder cancer,1673,4
swelling of the legs,bladder cancer,1673,3
the most common symptom of hodgkin lymphoma is a swelling in the neck,hodgkin's lymphoma,1674,3
armpit,hodgkin's lymphoma,1674,3
or groin. the swelling is usually painless,hodgkin's lymphoma,1674,3
although some people find that it aches. the swelling is caused by an excess of affected lymphocytes (white blood cells) collecting in a lymph node (also called lymph glands). lymph nodes are pea-sized lumps of tissue found throughout the body. they contain white blood cells that help to fight infection. however,hodgkin's lymphoma,1674,3
it's highly unlikely that you have hodgkin lymphoma if you have swollen lymph nodes,hodgkin's lymphoma,1674,3
as these glands often swell as a response to infection. some people with hodgkin lymphoma also have other more general symptoms. these can include night sweats,hodgkin's lymphoma,1674,3
unintentional weight loss,hodgkin's lymphoma,1674,3
fever,hodgkin's lymphoma,1674,3
shortness of breath,hodgkin's lymphoma,1674,3
and persistent itching of the skin all over the body. other symptoms will depend on where in the body the enlarged lymph glands are. for example,hodgkin's lymphoma,1674,3
if the abdomen (tummy) is affected,hodgkin's lymphoma,1674,3
fatigue,hodgkin's lymphoma,1674,3
an increased risk of infections,hodgkin's lymphoma,1674,3
and excessive bleeding – such as nosebleeds,hodgkin's lymphoma,1674,3
heavy periods,hodgkin's lymphoma,1674,3
and spots of blood under the skin. sometimes,hodgkin's lymphoma,1674,3
people with hodgkin lymphoma have pain in their lymph glands when they drink alcohol,hodgkin's lymphoma,1674,3
the platelet level in blood ranges from 150,immune thrombocytopenia (itp),1675,3
000 to 400,immune thrombocytopenia (itp),1675,3
000 per ml (150-400 x 10^9/l). individuals with itp might have a platelet count of 20,immune thrombocytopenia (itp),1675,3
000 (20 x 10^9/l) or lower. mild itp often lacks symptoms,immune thrombocytopenia (itp),1675,3
but severe drops in platelet count can lead to increased bruising or bleeding,immune thrombocytopenia (itp),1675,3
including easily bruising skin,immune thrombocytopenia (itp),1675,3
non-blanching rash of small red dots (petechiae),immune thrombocytopenia (itp),1675,3
bleeding from various areas,immune thrombocytopenia (itp),1675,3
bleeding gums,immune thrombocytopenia (itp),1675,3
slow-stopping nosebleeds,immune thrombocytopenia (itp),1675,3
internal bleeding,immune thrombocytopenia (itp),1675,3
and extended or heavy menstrual periods. fatigue is common in itp,immune thrombocytopenia (itp),1675,3
although it's unclear why since platelets aren't linked to energy maintenance,immune thrombocytopenia (itp),1675,3
people with kaposi sarcoma,kaposi's sarcoma,1676,1
particularly those with hiv or aids,kaposi's sarcoma,1676,1
might experience the following symptoms or signs: slightly elevated purple,kaposi's sarcoma,1676,1
pink,kaposi's sarcoma,1676,1
brown,kaposi's sarcoma,1676,1
black,kaposi's sarcoma,1676,1
blue,kaposi's sarcoma,1676,1
or red blotches or bumps on the skin,kaposi's sarcoma,1676,1
mouth,kaposi's sarcoma,1676,1
or throat,kaposi's sarcoma,1676,1
lymphedema or swelling due to lymphatic system blockage,kaposi's sarcoma,1676,1
unexplained cough or chest pain,kaposi's sarcoma,1676,1
unexplained stomach or intestinal pain,kaposi's sarcoma,1676,1
diarrhea and/or digestive tract blockage caused by lesions in the gastrointestinal tract,kaposi's sarcoma,1676,1
letterer-siwe disease often appears in children under 2 years old,letterer-siwe disease,1677,1
showing these clinical features: scaly seborrheic,letterer-siwe disease,1677,1
eczema-like,letterer-siwe disease,1677,1
or purpuric rashes on the skin involving scalp,letterer-siwe disease,1677,1
ear canals,letterer-siwe disease,1677,1
abdomen,letterer-siwe disease,1677,1
neck,letterer-siwe disease,1677,1
or face,letterer-siwe disease,1677,1
ear drainage,letterer-siwe disease,1677,1
lymphadenopathy,letterer-siwe disease,1677,1
osteolytic lesions,letterer-siwe disease,1677,1
hepatosplenomegaly,letterer-siwe disease,1677,1
severe cases with hepatic dysfunction causing hypoproteinemia,letterer-siwe disease,1677,1
bleeding from reduced clotting factor synthesis,letterer-siwe disease,1677,1
pulmonary signs like cough,letterer-siwe disease,1677,1
tachypnea,letterer-siwe disease,1677,1
pneumothorax,letterer-siwe disease,1677,1
hematologic indications of anemia,letterer-siwe disease,1677,1
neutropenia,letterer-siwe disease,1677,1
and thrombocytopenia,letterer-siwe disease,1677,1
constitutional symptoms such as anorexia,letterer-siwe disease,1677,1
irritability,letterer-siwe disease,1677,1
failure to thrive,letterer-siwe disease,1677,1
and persistent fevers,letterer-siwe disease,1677,1
sometimes appearing abused or neglected,letterer-siwe disease,1677,1
precocious teeth eruption with immature dentition and receding gum line,letterer-siwe disease,1677,1
often noted by parents,letterer-siwe disease,1677,1
in severe or later stages,letterer-siwe disease,1677,1
hemorrhage and sepsis due to hepatic failure and severe pancytopenia may occur,letterer-siwe disease,1677,1
with purpuric rash or bruising appearing before death in those prone to bleeding,letterer-siwe disease,1677,1
the symptoms of advanced cancer depend on where the cancer is in the body and might include:,metastatic melanoma,1678,3
hard or swollen lymph nodes,metastatic melanoma,1678,3
hard lump on your skin,metastatic melanoma,1678,3
unexplained pain,metastatic melanoma,1678,3
feeling very tired or unwell,metastatic melanoma,1678,3
unexplained weight loss,metastatic melanoma,1678,3
yellowing of eyes and skin (jaundice),metastatic melanoma,1678,3
buildup of fluid in your tummy (abdomen) - ascites,metastatic melanoma,1678,3
tummy pain,metastatic melanoma,1678,3
symptoms if cancer has spread to the lymph nodes:,metastatic melanoma,1678,3
lymph nodes are part of a system of tubes and glands in the body that filter body fluids and fight infection,metastatic melanoma,1678,3
the most common symptom if cancer has spread to the lymph nodes is that they feel hard or swollen. swollen lymph nodes in the neck area can make it hard to swallow,metastatic melanoma,1678,3
cancer cells can also stop lymph fluid from draining away. this might lead to swelling in the neck or face due to fluid buildup in that area. the swelling is called lymphedema,metastatic melanoma,1678,3
symptoms if cancer has spread to the lungs:,metastatic melanoma,1678,3
you may have any of these symptoms if your cancer has spread into the lungs:,metastatic melanoma,1678,3
a cough that doesn’t go away,metastatic melanoma,1678,3
shortness of breath,metastatic melanoma,1678,3
ongoing chest infections,metastatic melanoma,1678,3
coughing up blood,metastatic melanoma,1678,3
a buildup of fluid between the chest wall and the lung (a pleural effusion),metastatic melanoma,1678,3
symptoms if cancer has spread to the liver:,metastatic melanoma,1678,3
you might have any of the following symptoms if your cancer has spread to the liver:,metastatic melanoma,1678,3
discomfort or pain on the right side of your tummy (abdomen),metastatic melanoma,1678,3
nausea,metastatic melanoma,1678,3
poor appetite and weight loss,metastatic melanoma,1678,3
a swollen tummy (called ascites),metastatic melanoma,1678,3
yellowing of the skin and whites of the eyes (jaundice),metastatic melanoma,1678,3
itchy skin,metastatic melanoma,1678,3
symptoms if cancer has spread to the bone:,metastatic melanoma,1678,3
you might have any of the following symptoms if your cancer has spread to the bones:,metastatic melanoma,1678,3
pain from breakdown of the bone – the pain is continuous and people often describe it as gnawing,metastatic melanoma,1678,3
backache,metastatic melanoma,1678,3
which gets worse despite resting,metastatic melanoma,1678,3
weaker bones – they can break more easily,metastatic melanoma,1678,3
raised blood calcium (hypercalcemia),metastatic melanoma,1678,3
which can cause dehydration,metastatic melanoma,1678,3
confusion,metastatic melanoma,1678,3
sickness,metastatic melanoma,1678,3
tummy (abdominal) pain,metastatic melanoma,1678,3
and constipation,metastatic melanoma,1678,3
low levels of blood cells – blood cells are made in the bone marrow and can be crowded out by the cancer cells,metastatic melanoma,1678,3
causing anemia,metastatic melanoma,1678,3
increased risk of infection,metastatic melanoma,1678,3
bruising,metastatic melanoma,1678,3
and bleeding,metastatic melanoma,1678,3
cancer in the spinal bones can cause pressure on the spinal cord. if it isn't treated,metastatic melanoma,1678,3
it can lead to weakness in your legs,metastatic melanoma,1678,3
numbness,metastatic melanoma,1678,3
paralysis,metastatic melanoma,1678,3
and loss of bladder and bowel control (incontinence). this is called spinal cord compression. it is an emergency,metastatic melanoma,1678,3
so if you have these symptoms,metastatic melanoma,1678,3
you need to contact your cancer specialist straight away or go to the accident and emergency department,metastatic melanoma,1678,3
symptoms if cancer has spread to the brain:,metastatic melanoma,1678,3
you might have any of the following symptoms if your cancer has spread to your brain:,metastatic melanoma,1678,3
memory problems,metastatic melanoma,1678,3
mood or personality changes,metastatic melanoma,1678,3
seizures,metastatic melanoma,1678,3
severe headaches,metastatic melanoma,1678,3
often with sickness,metastatic melanoma,1678,3
weakness of an arm or leg,metastatic melanoma,1678,3
non-small cell lung cancer is the most common type of lung cancer. in addition to typical lung cancer symptoms,non-small cell lung cancer (nsclc),1679,4
you may also experience bone pain,non-small cell lung cancer (nsclc),1679,4
painful or difficult breathing. non-small cell lung cancer symptoms often come on slowly. as these tumors grow and spread to other parts of the body (metastasize),non-small cell lung cancer (nsclc),1679,4
you may experience symptoms in your head (headaches or seizures),non-small cell lung cancer (nsclc),1679,4
limbs (arm or leg numbness),non-small cell lung cancer (nsclc),1679,4
lymph nodes (lumps you can see or feel),non-small cell lung cancer (nsclc),1679,4
mycosis fungoides,advanced alibert-bazin syndrome,1680,1
or alibert-bazin syndrome,advanced alibert-bazin syndrome,1680,1
progresses slowly over four phases,advanced alibert-bazin syndrome,1680,1
not all experienced by everyone:,advanced alibert-bazin syndrome,1680,1
1st phase: scaly red rash,advanced alibert-bazin syndrome,1680,1
often in non-sunlit areas like the rear end,advanced alibert-bazin syndrome,1680,1
no other symptoms,advanced alibert-bazin syndrome,1680,1
can last months to years,advanced alibert-bazin syndrome,1680,1
2nd phase: thin red rash resembling patches,advanced alibert-bazin syndrome,1680,1
3rd phase: small raised red bumps or firm plaques,advanced alibert-bazin syndrome,1680,1
4th phase: tumors resembling mushrooms that can rupture and become infected,advanced alibert-bazin syndrome,1680,1
concurrently,advanced alibert-bazin syndrome,1680,1
patches,advanced alibert-bazin syndrome,1680,1
plaques,advanced alibert-bazin syndrome,1680,1
and tumors can occur,advanced alibert-bazin syndrome,1680,1
but in individuals with long-standing mycosis fungoides,advanced alibert-bazin syndrome,1680,1
usually only the first two phases are present,advanced alibert-bazin syndrome,1680,1
advanced testicular cancer might not immediately display symptoms if it has spread. however,advanced testicular cancer,1681,1
some men may experience:,advanced testicular cancer,1681,1
low back pain due to cancer affecting lymph nodes in the belly's back,advanced testicular cancer,1681,1
shortness of breath,advanced testicular cancer,1681,1
chest pain,advanced testicular cancer,1681,1
or cough (potentially with blood) from lung spread,advanced testicular cancer,1681,1
belly pain due to enlarged lymph nodes or liver involvement,advanced testicular cancer,1681,1
headaches or confusion from brain metastases,advanced testicular cancer,1681,1
histiocytic sarcoma,histiocytic lymphoma,1682,1
true histiocytic lymphoma,histiocytic lymphoma,1682,1
and malignant histiocytosis are synonymous with a rare neoplasm showing histiocyte lineage. individuals with histiocytic sarcoma might experience nonspecific systemic symptoms (fever,histiocytic lymphoma,1682,1
weight loss,histiocytic lymphoma,1682,1
anorexia,histiocytic lymphoma,1682,1
asthenia),histiocytic lymphoma,1682,1
hepatosplenomegaly,histiocytic lymphoma,1682,1
lymphadenopathy,histiocytic lymphoma,1682,1
intestinal obstruction,histiocytic lymphoma,1682,1
rash,histiocytic lymphoma,1682,1
and pancytopenia. pallor (anemia),histiocytic lymphoma,1682,1
hemorrhage (petechiae,histiocytic lymphoma,1682,1
ecchymoses,histiocytic lymphoma,1682,1
epistaxis,histiocytic lymphoma,1682,1
and bleeding gums),histiocytic lymphoma,1682,1
and hepatosplenomegaly due to organ involvement can also occur. extranodal immunoblastic lymphoma commonly affects the gastrointestinal tract,histiocytic lymphoma,1682,1
bone,histiocytic lymphoma,1682,1
testis,histiocytic lymphoma,1682,1
and cns,histiocytic lymphoma,1682,1
symptoms of refractory breast cancer can vary and are often similar to those of earlier stages of breast cancer. however,refractory breast cancer,1683,1
refractory breast cancer refers to cancer that has become resistant to treatment and has not responded to previous therapies. as a result,refractory breast cancer,1683,1
the symptoms may persist or worsen despite undergoing multiple treatments. common symptoms of refractory breast cancer may include:,refractory breast cancer,1683,1
unresolved or progressive tumor growth: the primary symptom is the persistence or growth of the breast tumor,refractory breast cancer,1683,1
despite undergoing various treatments. the tumor may continue to increase in size or spread to other parts of the body,refractory breast cancer,1683,1
pain: refractory breast cancer may lead to increased pain in the affected breast or the area surrounding the breast. the pain might be localized or more widespread,refractory breast cancer,1683,1
swelling and inflammation: as the cancer progresses,refractory breast cancer,1683,1
the breast or surrounding tissues may become more swollen and inflamed,refractory breast cancer,1683,1
skin changes: skin changes over the affected breast,refractory breast cancer,1683,1
such as redness,refractory breast cancer,1683,1
dimpling,refractory breast cancer,1683,1
or puckering,refractory breast cancer,1683,1
can indicate advanced and refractory breast cancer,refractory breast cancer,1683,1
changes in breast appearance: the breast may develop changes in shape,refractory breast cancer,1683,1
size,refractory breast cancer,1683,1
or texture as the cancer progresses,refractory breast cancer,1683,1
bone pain: if the cancer has metastasized to the bones,refractory breast cancer,1683,1
patients may experience bone pain,refractory breast cancer,1683,1
fractures,refractory breast cancer,1683,1
and other skeletal-related symptoms,refractory breast cancer,1683,1
breast nodule or mass: a palpable breast nodule or mass that remains despite treatment may indicate refractory cancer,refractory breast cancer,1683,1
lymph node enlargement: if cancer has spread to nearby lymph nodes,refractory breast cancer,1683,1
these nodes may remain enlarged or continue to grow,refractory breast cancer,1683,1
symptoms of acute lymphoblastic leukaemia (all) are not always obvious at first and can be similar to other conditions. they usually appear quite quickly over a few weeks. the main symptoms include feeling tired or weak,acute lymphoblastic leukemia (all),1684,3
bleeding or bruising easily or for no reason,acute lymphoblastic leukemia (all),1684,3
looking more pale than usual,acute lymphoblastic leukemia (all),1684,3
getting ill a lot or taking longer than usual to recover from illnesses,acute lymphoblastic leukemia (all),1684,3
fever,acute lymphoblastic leukemia (all),1684,3
swollen glands (usually in the neck,acute lymphoblastic leukemia (all),1684,3
armpits,acute lymphoblastic leukemia (all),1684,3
and groin),acute lymphoblastic leukemia (all),1684,3
pain in the bones or joints,acute lymphoblastic leukemia (all),1684,3
loss of appetite or losing weight without trying,acute lymphoblastic leukemia (all),1684,3
shortness of breath,acute lymphoblastic leukemia (all),1684,3
a swollen tummy – your tummy may feel painful,acute lymphoblastic leukemia (all),1684,3
uncomfortable,acute lymphoblastic leukemia (all),1684,3
or full. less common symptoms include a headache,acute lymphoblastic leukemia (all),1684,3
being sick,acute lymphoblastic leukemia (all),1684,3
blurred vision,acute lymphoblastic leukemia (all),1684,3
fits (seizures),acute lymphoblastic leukemia (all),1684,3
a cough,acute lymphoblastic leukemia (all),1684,3
a swollen and red face,acute lymphoblastic leukemia (all),1684,3
neck,acute lymphoblastic leukemia (all),1684,3
arms,acute lymphoblastic leukemia (all),1684,3
or hands – the redness may be harder to see on brown and black skin,acute lymphoblastic leukemia (all),1684,3
swollen veins in the neck or chest,acute lymphoblastic leukemia (all),1684,3
people with choriocarcinoma,choriocarcinoma,1685,1
especially those who were recently pregnant,choriocarcinoma,1685,1
may experience the following symptoms: irregular vaginal bleeding,choriocarcinoma,1685,1
pelvic pain. if choriocarcinoma spreads to other parts of your body,choriocarcinoma,1685,1
additional symptoms could include: heavy bleeding,choriocarcinoma,1685,1
abnormal discharge or lumps in your vagina (if it spreads to your vagina),choriocarcinoma,1685,1
seizures or headaches (if it spreads to your brain),choriocarcinoma,1685,1
pain in your abdomen (if it spreads to your kidneys or liver),choriocarcinoma,1685,1
signs and symptoms of chronic lymphocytic leukemia include swollen lymph nodes and feeling tired. in the beginning,chronic lymphocytic leukemia,1686,2
cll may not show any signs or symptoms and might be discovered during a routine blood test. later,chronic lymphocytic leukemia,1686,2
signs and symptoms could manifest. consult your doctor if you experience any of the following:,chronic lymphocytic leukemia,1686,2
painless swelling of lymph nodes in the neck,chronic lymphocytic leukemia,1686,2
underarm,chronic lymphocytic leukemia,1686,2
stomach,chronic lymphocytic leukemia,1686,2
or groin,chronic lymphocytic leukemia,1686,2
weakness or fatigue,chronic lymphocytic leukemia,1686,2
pain or fullness below the ribs,chronic lymphocytic leukemia,1686,2
fever and infection,chronic lymphocytic leukemia,1686,2
easy bruising or bleeding,chronic lymphocytic leukemia,1686,2
petechiae (flat,chronic lymphocytic leukemia,1686,2
pinpoint,chronic lymphocytic leukemia,1686,2
dark-red skin spots from bleeding),chronic lymphocytic leukemia,1686,2
unexplained weight loss,chronic lymphocytic leukemia,1686,2
profuse night sweats,chronic lymphocytic leukemia,1686,2
some symptoms of ewing sarcoma include:,ewing's sarcoma,1687,2
pain,ewing's sarcoma,1687,3
swelling,ewing's sarcoma,1687,2
or tenderness near the affected area (arms,ewing's sarcoma,1687,2
legs,ewing's sarcoma,1687,3
pelvis,ewing's sarcoma,1687,2
or chest),ewing's sarcoma,1687,2
bone pain,ewing's sarcoma,1687,3
fatigue,ewing's sarcoma,1687,3
fever with no known cause,ewing's sarcoma,1687,3
losing weight without trying,ewing's sarcoma,1687,2
the symptoms of gtd may resemble those of a normal pregnancy. they may also be similar to a spontaneous abortion,gestational trophoblastic neoplasia,1688,3
also called a miscarriage,gestational trophoblastic neoplasia,1688,3
or to an ectopic pregnancy. however,gestational trophoblastic neoplasia,1688,3
the following symptoms could signal a potential problem:,gestational trophoblastic neoplasia,1688,3
abnormal vaginal bleeding during or after pregnancy,gestational trophoblastic neoplasia,1688,3
a uterus that is larger than expected at a given point in the pregnancy,gestational trophoblastic neoplasia,1688,3
severe nausea or vomiting during pregnancy,gestational trophoblastic neoplasia,1688,3
high blood pressure at an early point in the pregnancy,gestational trophoblastic neoplasia,1688,3
which may include headaches and/or swelling of the feet and hands,gestational trophoblastic neoplasia,1688,3
a pregnancy where the baby has not moved at the expected time,gestational trophoblastic neoplasia,1688,3
pain or pressure in the pelvic area,gestational trophoblastic neoplasia,1688,3
abdominal swelling,gestational trophoblastic neoplasia,1688,3
anemia,gestational trophoblastic neoplasia,1688,3
which is a low red blood cell count that can cause fatigue,gestational trophoblastic neoplasia,1688,3
dizziness,gestational trophoblastic neoplasia,1688,3
shortness of breath,gestational trophoblastic neoplasia,1688,3
or an irregular heartbeat,gestational trophoblastic neoplasia,1688,3
anxiety or irritability,gestational trophoblastic neoplasia,1688,3
including feeling shaky or experiencing severe sweating,gestational trophoblastic neoplasia,1688,3
sleep problems,gestational trophoblastic neoplasia,1688,3
unexplained weight loss,gestational trophoblastic neoplasia,1688,3
occasionally,gestational trophoblastic neoplasia,1688,3
symptoms may appear weeks,gestational trophoblastic neoplasia,1688,3
months,gestational trophoblastic neoplasia,1688,3
or even years after a normal pregnancy and birth,gestational trophoblastic neoplasia,1688,3
in rare situations,gestational trophoblastic neoplasia,1688,3
if a cancerous gtd has spread beyond the uterus at the time of diagnosis,gestational trophoblastic neoplasia,1688,3
other symptoms may occur based on the location of the disease. in this case,gestational trophoblastic neoplasia,1688,3
gtd may be misdiagnosed as another health problem. for example,gestational trophoblastic neoplasia,1688,3
the spread of choriocarcinoma to the brain may result in bleeding,gestational trophoblastic neoplasia,1688,3
which can be mistaken for a brain aneurysm. a human chorionic gonadotropin (hcg) blood test can help the health care team better understand the problem,gestational trophoblastic neoplasia,1688,3
an increased swelling of the belly is the most common symptom,hepatoblastomas,1689,1
the enlarged liver can sometimes be felt by your child's doctor,hepatoblastomas,1689,1
swollen belly,hepatoblastomas,1689,1
a large mass in the belly,hepatoblastomas,1689,1
pain in the belly,hepatoblastomas,1689,1
pale skin and / or fatigue,hepatoblastomas,1689,1
lower appetite and weight loss,hepatoblastomas,1689,1
vomiting,hepatoblastomas,1689,1
fever,hepatoblastomas,1689,1
back pain,hepatoblastomas,1689,1
decreased urination,hepatoblastomas,1689,1
the most common symptom of hodgkin lymphoma is a swelling in the neck,hodgkin's lymphoma,1690,3
armpit,hodgkin's lymphoma,1690,3
or groin. the swelling is usually painless,hodgkin's lymphoma,1690,3
although some people find that it aches. the swelling is caused by an excess of affected lymphocytes (white blood cells) collecting in a lymph node (also called lymph glands). lymph nodes are pea-sized lumps of tissue found throughout the body. they contain white blood cells that help to fight infection. however,hodgkin's lymphoma,1690,3
it's highly unlikely that you have hodgkin lymphoma if you have swollen lymph nodes,hodgkin's lymphoma,1690,3
as these glands often swell as a response to infection. some people with hodgkin lymphoma also have other more general symptoms. these can include night sweats,hodgkin's lymphoma,1690,3
unintentional weight loss,hodgkin's lymphoma,1690,3
fever,hodgkin's lymphoma,1690,3
shortness of breath,hodgkin's lymphoma,1690,3
and persistent itching of the skin all over the body. other symptoms will depend on where in the body the enlarged lymph glands are. for example,hodgkin's lymphoma,1690,3
if the abdomen (tummy) is affected,hodgkin's lymphoma,1690,3
fatigue,hodgkin's lymphoma,1690,3
an increased risk of infections,hodgkin's lymphoma,1690,3
and excessive bleeding – such as nosebleeds,hodgkin's lymphoma,1690,3
heavy periods,hodgkin's lymphoma,1690,3
and spots of blood under the skin. sometimes,hodgkin's lymphoma,1690,3
people with hodgkin lymphoma have pain in their lymph glands when they drink alcohol,hodgkin's lymphoma,1690,3
kaposi sarcoma (ks) typically presents initially as spots,kaposi's sarcoma,1691,2
known as lesions,kaposi's sarcoma,1691,2
on the skin. these lesions can vary in color and may appear as shades of purple,kaposi's sarcoma,1691,2
red,kaposi's sarcoma,1691,2
or brown. there are distinct types of ks lesions: patches,kaposi's sarcoma,1691,2
which lie flat and are on the same level as the surrounding skin,kaposi's sarcoma,1691,2
plaques,kaposi's sarcoma,1691,2
which are flat but slightly raised,kaposi's sarcoma,1691,2
and nodules,kaposi's sarcoma,1691,2
which are raised bumps on the skin. while ks lesions most commonly emerge on the legs or face,kaposi's sarcoma,1691,2
they can also manifest in other areas of the body. in certain cases,kaposi's sarcoma,1691,2
lesions in the leg or groin regions might obstruct fluid drainage,kaposi's sarcoma,1691,2
resulting in painful swelling in the legs and feet,kaposi's sarcoma,1691,2
additionally,kaposi's sarcoma,1691,2
mucous membranes,kaposi's sarcoma,1691,2
such as those lining the inside of the mouth,kaposi's sarcoma,1691,2
throat,kaposi's sarcoma,1691,2
and the external portion of the eye and inner eyelids,kaposi's sarcoma,1691,2
can also develop ks lesions. importantly,kaposi's sarcoma,1691,2
these lesions on mucous membranes generally do not provoke pain or itchiness,kaposi's sarcoma,1691,2
furthermore,kaposi's sarcoma,1691,2
ks lesions can also appear in various other parts of the body. lesions within the lungs might obstruct airways,kaposi's sarcoma,1691,2
leading to episodes of shortness of breath. likewise,kaposi's sarcoma,1691,2
lesions that develop in the stomach and intestines may trigger abdominal pain and episodes of diarrhea,kaposi's sarcoma,1691,2
at times,kaposi's sarcoma,1691,2
ks lesions might exhibit bleeding. if these bleeding lesions are situated within the lungs,kaposi's sarcoma,1691,2
they could result in the act of coughing up blood and subsequently cause breathing difficulties. similarly,kaposi's sarcoma,1691,2
lesions in the stomach or intestines could give rise to bowel movements that are dark and tarry,kaposi's sarcoma,1691,2
or show signs of blood. the bleeding stemming from lesions in the gastrointestinal tract might be gradual enough to escape visibility in the stool. however,kaposi's sarcoma,1691,2
as time progresses,kaposi's sarcoma,1691,2
this continuous blood loss can lead to a reduction in red blood cell counts,kaposi's sarcoma,1691,2
ultimately resulting in symptoms like persistent fatigue and episodes of shortness of breath,kaposi's sarcoma,1691,2
bone pain,multiple myeloma (mm),1692,5
bone fractures,multiple myeloma (mm),1692,5
spinal cord compression,multiple myeloma (mm),1692,5
pins and needles,multiple myeloma (mm),1692,5
numbness and weakness in the legs and feet,multiple myeloma (mm),1692,5
problems controlling bladder and bowels,multiple myeloma (mm),1692,5
anaemia,multiple myeloma (mm),1692,5
fatigue,multiple myeloma (mm),1692,6
weakness,multiple myeloma (mm),1692,6
shortness of breath,multiple myeloma (mm),1692,5
repeated infections,multiple myeloma (mm),1692,6
vulnerability to infection,multiple myeloma (mm),1692,5
raised calcium levels in the blood,multiple myeloma (mm),1692,5
extreme thirst,multiple myeloma (mm),1692,5
nausea,multiple myeloma (mm),1692,5
stomach pain,multiple myeloma (mm),1692,6
frequent urination,multiple myeloma (mm),1692,6
constipation,multiple myeloma (mm),1692,6
confusion,multiple myeloma (mm),1692,6
drowsiness,multiple myeloma (mm),1692,5
unusual bleeding,multiple myeloma (mm),1692,5
bruising,multiple myeloma (mm),1692,6
bleeding gums,multiple myeloma (mm),1692,6
heavy periods,multiple myeloma (mm),1692,5
thickened blood,multiple myeloma (mm),1692,5
blurred vision,multiple myeloma (mm),1692,6
headaches,multiple myeloma (mm),1692,5
dizziness,multiple myeloma (mm),1692,6
kidney problems,multiple myeloma (mm),1692,6
kidney damage,multiple myeloma (mm),1692,5
kidney impairment,multiple myeloma (mm),1692,5
kidney failure,multiple myeloma (mm),1692,5
weight loss,multiple myeloma (mm),1692,6
poor appetite,multiple myeloma (mm),1692,5
swollen ankles,multiple myeloma (mm),1692,5
swollen feet,multiple myeloma (mm),1692,5
swollen hands,multiple myeloma (mm),1692,5
lack of energy,multiple myeloma (mm),1692,5
itchy skin,multiple myeloma (mm),1692,5
hiccups,multiple myeloma (mm),1692,5
neuroblastoma often begins in early childhood,neuroblastoma (nb),1693,1
sometimes it begins before a child is born. the most common symptoms are caused by the tumor pressing on nearby tissues as it grows or by cancer spreading to the bone. they include: a lump in the abdomen,neuroblastoma (nb),1693,1
neck,neuroblastoma (nb),1693,1
or chest,neuroblastoma (nb),1693,1
bulging eyes,neuroblastoma (nb),1693,1
dark circles around the eyes,neuroblastoma (nb),1693,1
bone pain,neuroblastoma (nb),1693,1
swollen stomach and trouble breathing in babies,neuroblastoma (nb),1693,1
painless,neuroblastoma (nb),1693,1
bluish lumps under the skin in babies,neuroblastoma (nb),1693,1
inability to move a body part (paralysis),neuroblastoma (nb),1693,1
the most common symptom of non-hodgkin lymphoma is a painless swelling in a lymph node,non-hodgkin's lymphoma (nhl),1694,5
usually in the neck,non-hodgkin's lymphoma (nhl),1694,5
armpit,non-hodgkin's lymphoma (nhl),1694,5
or groin. lymph nodes,non-hodgkin's lymphoma (nhl),1694,5
also known as lymph glands,non-hodgkin's lymphoma (nhl),1694,5
are pea-sized lumps of tissue found throughout the body. they contain white blood cells that help to fight against infection. the swelling is caused by a certain type of white blood cell,non-hodgkin's lymphoma (nhl),1694,5
known as lymphocytes,non-hodgkin's lymphoma (nhl),1694,5
collecting in the lymph node. but it's highly unlikely you have non-hodgkin lymphoma if you have swollen lymph nodes,non-hodgkin's lymphoma (nhl),1694,5
as these glands often swell as a response to infection. some people with non-hodgkin lymphoma also have other,non-hodgkin's lymphoma (nhl),1694,5
more general symptoms,non-hodgkin's lymphoma (nhl),1694,5
including night sweats,non-hodgkin's lymphoma (nhl),1694,5
unintentional weight loss,non-hodgkin's lymphoma (nhl),1694,5
fever,non-hodgkin's lymphoma (nhl),1694,5
shortness of breath,non-hodgkin's lymphoma (nhl),1694,5
and persistent itching of the skin all over the body. other symptoms depend on where in the body the enlarged lymph glands are (for example,non-hodgkin's lymphoma (nhl),1694,5
swollen tonsils,non-hodgkin's lymphoma (nhl),1694,5
a lump in the tummy,non-hodgkin's lymphoma (nhl),1694,5
fatigue,non-hodgkin's lymphoma (nhl),1694,5
an increased risk of infections,non-hodgkin's lymphoma (nhl),1694,5
and excessive bleeding,non-hodgkin's lymphoma (nhl),1694,5
such as nosebleeds,non-hodgkin's lymphoma (nhl),1694,5
heavy periods,non-hodgkin's lymphoma (nhl),1694,5
and spots of blood under the skin,non-hodgkin's lymphoma (nhl),1694,5
it may be difficult to spot signs of ovarian germ cell tumors early on. symptoms of malignant tumors usually don't manifest until cancer has advanced. symptoms of all types of ovarian germ cell tumors include:,ovarian germ cell tumour,1695,3
pelvic pain or tenderness: individuals may experience discomfort in the pelvic region,ovarian germ cell tumour,1695,3
cramping,ovarian germ cell tumour,1695,3
and ovarian pain,ovarian germ cell tumour,1695,3
which are common symptoms of germ cell tumors,ovarian germ cell tumour,1695,3
